lon,lat,title
34.8018017,32.0813201,"STUDIO BALANCE - borochov 54
https://freefit.co.il/CLUBS/?CLUB=18417"
35.1142546,32.6629051,"סטודיו ליבה
https://freefit.co.il/CLUBS/?CLUB=29151"
34.9188518,32.2579711,"peleg fit house
https://freefit.co.il/CLUBS/?CLUB=23557"
34.784291,32.0901629,"צליל פילאטיס
https://freefit.co.il/CLUBS/?CLUB=29614"
35.2277934,31.6528344,"סטודיו מירי תקוע
https://freefit.co.il/CLUBS/?CLUB=29167"
34.7710991,32.0838336,"גלים גורדון גלישת גלים
https://freefit.co.il/CLUBS/?CLUB=25684"
35.0973999,32.991715,"קאנטרי גן עברון - בריכה
https://freefit.co.il/CLUBS/?CLUB=7403"
34.7710991,32.0838336,"גלים גורדון- גלישת סאפ
https://freefit.co.il/CLUBS/?CLUB=25685"
34.8011555,32.0988826,"ONLINE MA parkout פארק הירקון
https://freefit.co.il/CLUBS/?CLUB=29333"
34.7677772,32.0828488,"פילאטיס עם ליהי
https://freefit.co.il/CLUBS/?CLUB=29274"
34.7725981,32.0798809,"סטודיו 33
https://freefit.co.il/CLUBS/?CLUB=29207"
34.9132047,29.4984407,"סנובה מרכז צלילה ושנורקלינג אילת
https://freefit.co.il/CLUBS/?CLUB=29626"
37.3264134,31.3866964,"ONLINE Tootiz
https://freefit.co.il/CLUBS/?CLUB=29487"
34.7836617,32.0773193,"HardCore Studio
https://freefit.co.il/CLUBS/?CLUB=29616"
34.768755,32.0840104,"א.ד. משוטים - סאפ/קיאק
https://freefit.co.il/CLUBS/?CLUB=29367"
34.7800642,32.0955148,"outdoor power
https://freefit.co.il/CLUBS/?CLUB=29185"
35.0157663,32.1717778,"מועדון ספורט אלפי מנשה
https://freefit.co.il/CLUBS/?CLUB=27803"
35.5798673,33.2780283,"מרכז קנדה חדר כושר ובריכה
https://freefit.co.il/CLUBS/?CLUB=25756"
34.9716747,32.7711657,"קרוספיט הטירה
https://freefit.co.il/CLUBS/?CLUB=29267"
34.8689492,32.0567986,"studio C גבעת סביון
https://freefit.co.il/CLUBS/?CLUB=14415"
34.778052,32.0653505,"ארז יוגה תל אביב
https://freefit.co.il/CLUBS/?CLUB=29099"
34.829153,32.1689069,"סטראדל הרצליה
https://freefit.co.il/CLUBS/?CLUB=29091"
34.7876802,32.0983769,"Endure אנדיור
https://freefit.co.il/CLUBS/?CLUB=29337"
34.7535022,32.0130677,"הסטודיו של חן מלכה
https://freefit.co.il/CLUBS/?CLUB=29637"
37.3264134,31.3866964,"ONLINE ברי יוגה B Yoga
https://freefit.co.il/CLUBS/?CLUB=29476"
37.3262501,31.3913948,"ONLINE אורלי יערי - יוגה ספייס
https://freefit.co.il/CLUBS/?CLUB=29527"
34.7701797,32.0856924,"next door חוזה רודריגז
https://freefit.co.il/CLUBS/?CLUB=28991"
34.8926883,32.2787,"PlayGround Sport Centers
https://freefit.co.il/CLUBS/?CLUB=23480"
34.7610791,32.0559133,"יוגה בנוגה
https://freefit.co.il/CLUBS/?CLUB=29066"
34.9878316,32.8044266,"הסטודיו חיפה - מרכז הכרמל
https://freefit.co.il/CLUBS/?CLUB=29657"
34.9207048,32.2577301,"8club אימונים פונקציונליים, תל מונד
https://freefit.co.il/CLUBS/?CLUB=25677"
34.774628,32.0318592,"ליאור ורדי - שיעורי מובמנט
https://freefit.co.il/CLUBS/?CLUB=29612"
34.8202899,32.1851771,"מ.ספורט ונופש כפר שמריהו
https://freefit.co.il/CLUBS/?CLUB=4399"
34.8192821,32.0479671,"אננדה יוגה ONLINE
https://freefit.co.il/CLUBS/?CLUB=29462"
35.0118674,32.7805855,"הסטודיו חיפה - נווה שאנן
https://freefit.co.il/CLUBS/?CLUB=27880"
34.9085124,32.1650518,"יוגה אווירית וערסלים- דליה דינאי
https://freefit.co.il/CLUBS/?CLUB=29269"
34.9389934,32.2969636,"FriendsFit tzoran
https://freefit.co.il/CLUBS/?CLUB=29607"
35.2617683,31.8651745,"JUMP  ג'אמפ שערי בנימין
https://freefit.co.il/CLUBS/?CLUB=4379"
35.0089143,32.3251872,"בריכת יד חנה
https://freefit.co.il/CLUBS/?CLUB=28930"
35.1943882,31.8178337,"MG סטודיו לנשים בלבד
https://freefit.co.il/CLUBS/?CLUB=27917"
37.3264134,31.3866964,"Inhale ONLINE
https://freefit.co.il/CLUBS/?CLUB=29521"
34.8122713,32.066037,"קומיוניפיט - א.פונקציונלים בחוץ
https://freefit.co.il/CLUBS/?CLUB=25662"
34.7649933,32.0682545,"go surf גו סרף - סאפ ואימונים
https://freefit.co.il/CLUBS/?CLUB=29021"
34.7840178,32.083817,"דני פילאטיס מכשירים
https://freefit.co.il/CLUBS/?CLUB=27889"
34.9284286,32.0537896,"Nina yoga
https://freefit.co.il/CLUBS/?CLUB=29443"
34.7705148,31.9935741,"profit חולון
https://freefit.co.il/CLUBS/?CLUB=19431"
35.5757222,32.6800447,"ROCA מועדון טיפוס
https://freefit.co.il/CLUBS/?CLUB=29455"
37.3262501,31.3913948,"ONLINE שירן פינקלשטיין
https://freefit.co.il/CLUBS/?CLUB=29512"
34.83967,32.1486458,"שגית פילאטיס, רמת השרון
https://freefit.co.il/CLUBS/?CLUB=29030"
34.8223701,32.1865829,"גולדן טרי קבוצת טריאתלון - הרצליה
https://freefit.co.il/CLUBS/?CLUB=29089"
35.2004745,31.7597729,"בית הנוער העברי בירושלים
https://freefit.co.il/CLUBS/?CLUB=21433"
34.7993746,32.004644,"rockiz חולון
https://freefit.co.il/CLUBS/?CLUB=29266"
35.1646251,32.7008871,"גקו קיר שגיא
https://freefit.co.il/CLUBS/?CLUB=29014"
35.2233731,31.7705026,"פארקור ישראל- ירושלים
https://freefit.co.il/CLUBS/?CLUB=29181"
35.3181524,32.7044197,"Profit נצרת עילית
https://freefit.co.il/CLUBS/?CLUB=25766"
34.8192821,32.0479671,"סטודיו מגוסטה ONLINE
https://freefit.co.il/CLUBS/?CLUB=29372"
35.1989808,31.7776688,"מרכז הספורט בקרית ספרא, גבעת רם
https://freefit.co.il/CLUBS/?CLUB=3352"
35.0935637,32.7977512,"רשת הקאנטרי קרית אתא
https://freefit.co.il/CLUBS/?CLUB=23541"
34.8452543,32.1395086,"סטודיו אוּמָא
https://freefit.co.il/CLUBS/?CLUB=29198"
34.7898858,32.0815158,"גו אקטיב - ויצמן תל אביב
https://freefit.co.il/CLUBS/?CLUB=78"
34.7997083,32.004485,"IcePeaks- היכל הקרח חולון
https://freefit.co.il/CLUBS/?CLUB=29252"
34.747009,32.226743,"Skyjump רעננה כניסת ילדים
https://freefit.co.il/CLUBS/?CLUB=29380"
34.787311,32.1180762,"גל לוי פילאטיס מכשירים
https://freefit.co.il/CLUBS/?CLUB=27912"
34.9027539,32.0793845,"ספורטר פתח תקווה
https://freefit.co.il/CLUBS/?CLUB=268"
34.7691699,32.0759276,"יעל גינזבורג יוגה
https://freefit.co.il/CLUBS/?CLUB=29394"
34.8024741,32.0885203,"סטודיו עוז מורג ברמת גן
https://freefit.co.il/CLUBS/?CLUB=273"
34.7884967,31.9845421,"מרכז הספורט רמת אליהו
https://freefit.co.il/CLUBS/?CLUB=29449"
34.8802834,32.0588857,"הסטודיו של נוגה
https://freefit.co.il/CLUBS/?CLUB=28955"
34.8955846,32.1951429,"שירה אורן פילאטיס- כפר סבא
https://freefit.co.il/CLUBS/?CLUB=29278"
34.8099042,31.9757121,"קרוספיט ראשון סיטי בראשון לציון
https://freefit.co.il/CLUBS/?CLUB=6401"
35.0973999,32.991715,"קאנטרי גן עברון - חדר כושר
https://freefit.co.il/CLUBS/?CLUB=20432"
34.7698751,32.0693195,"Bali Yoga
https://freefit.co.il/CLUBS/?CLUB=29070"
34.8995278,32.1385831,"Yuv Yoga
https://freefit.co.il/CLUBS/?CLUB=29315"
34.8758775,32.0562953,"fitness factory
https://freefit.co.il/CLUBS/?CLUB=1346"
34.7761612,32.079473,"NewFit
https://freefit.co.il/CLUBS/?CLUB=29424"
34.7702719,32.0540288,"Crossfit Florentin - קרוספיט פלורנטין
https://freefit.co.il/CLUBS/?CLUB=23559"
34.7416073,31.8762102,"בריכת כנות
https://freefit.co.il/CLUBS/?CLUB=3378"
34.8285957,32.1205988,"סטודיו גים,תל אביב
https://freefit.co.il/CLUBS/?CLUB=29009"
34.7749653,32.0995546,"XtriM אימוני שחיה וריצה נ.תל אביב
https://freefit.co.il/CLUBS/?CLUB=27820"
34.8116848,31.2589706,"Good run קבוצת ריצה
https://freefit.co.il/CLUBS/?CLUB=27845"
34.9175778,31.8464549,"חדר הכושר כרמי יוסף
https://freefit.co.il/CLUBS/?CLUB=27873"
34.7810418,31.9696082,"גו אקטיב - ראשון לציון
https://freefit.co.il/CLUBS/?CLUB=84"
34.8457022,32.2621726,"קושקה יוגה,אודים
https://freefit.co.il/CLUBS/?CLUB=27816"
34.7929424,31.9726947,"studio C ראשון לציון מערב
https://freefit.co.il/CLUBS/?CLUB=14437"
34.5726726,31.4149545,"Fitland נתיבות
https://freefit.co.il/CLUBS/?CLUB=24631"
34.8434414,32.1516598,"studio C צמרות הרצליה
https://freefit.co.il/CLUBS/?CLUB=14408"
34.574757,31.6757496,"ספורטר אשקלון
https://freefit.co.il/CLUBS/?CLUB=23485"
34.6329144,31.7999054,"פארקור ישראל- אשדוד
https://freefit.co.il/CLUBS/?CLUB=29180"
34.792946,32.066957,"ביקראם יוגה
https://freefit.co.il/CLUBS/?CLUB=29375"
34.8060558,31.9069366,"מרכז הנופש והספורט רחובות הפקולטה לחקלאו
https://freefit.co.il/CLUBS/?CLUB=209"
35.1140742,32.1707804,"מועדון ספורט קרני שומרון
https://freefit.co.il/CLUBS/?CLUB=25664"
34.770533,32.0595383,"ONLINE ספיראלה
https://freefit.co.il/CLUBS/?CLUB=29414"
35.1391109,31.7504131,"הסטודיו ליוגה בעמינדב
https://freefit.co.il/CLUBS/?CLUB=27899"
34.7726078,32.0967079,"אלהיוגה ONLINE
https://freefit.co.il/CLUBS/?CLUB=29339"
34.7908691,32.0989085,"Vered & Itai
https://freefit.co.il/CLUBS/?CLUB=29444"
34.8861703,32.0284507,"סטודיו אלמוג בית לפילאטיס מכשירים
https://freefit.co.il/CLUBS/?CLUB=29111"
34.8411085,32.1110461,"DOJO
https://freefit.co.il/CLUBS/?CLUB=29019"
34.8439859,32.1540275,"פילאטיס מכשירים גל קספרס
https://freefit.co.il/CLUBS/?CLUB=29301"
34.9843559,32.3780838,"סטודיו המעפיל- דין סער
https://freefit.co.il/CLUBS/?CLUB=29454"
34.9208393,32.1586641,"HELBUS
https://freefit.co.il/CLUBS/?CLUB=29618"
34.8550348,32.0822422,"XtriM-אימוני שחיה וריצה גבעת שמואל
https://freefit.co.il/CLUBS/?CLUB=27821"
34.9606306,32.7967693,"surf club חיפה
https://freefit.co.il/CLUBS/?CLUB=25670"
34.785896,32.0864702,"מאי אברמוביץ יוגה
https://freefit.co.il/CLUBS/?CLUB=29645"
+%D7%A8%D7%9E%D7%AA+%D7%92%D7%9F%E2%80%AD/,https://www.google.com/maps/place/%D7%92%D7%9F+%D7%93%D7%95%D7%93+%D7%94%D7%9E%D7%9C%D7%9A,"אימון בתנועה עם אבי ישראלי
https://freefit.co.il/CLUBS/?CLUB=29246"
34.8151034,32.0661221,"קאנטרי גבעתיים
https://freefit.co.il/CLUBS/?CLUB=25784"
34.9870326,32.7845343,"studio C חורב חיפה
https://freefit.co.il/CLUBS/?CLUB=14406"
35.5905157,33.2207002,"Motion community-נופית חרמון
https://freefit.co.il/CLUBS/?CLUB=27903"
35.2343237,31.7501145,"מרכז הספורט תלפז, ארמון הנציב
https://freefit.co.il/CLUBS/?CLUB=27819"
35.2035794,31.7879243,"JUMP ג'אמפ בנייני האומה
https://freefit.co.il/CLUBS/?CLUB=89"
